,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
41,503,Rain,very heavy rain,10d,stations,2000,1724751591,19800,Ahmedabad,200,72.5871,23.0276,26.01,26.01,26.01,26.01,998,89,998,993,7.72,160,12.86,100,IN,1724719832,1724765532,1,9049,2024-08-27 09:39:51
42,701,Mist,mist,50d,stations,2000,1724751591,19800,Ahmedabad,200,72.5871,23.0276,26.01,26.01,26.01,26.01,998,89,998,993,7.72,160,12.86,100,IN,1724719832,1724765532,1,9049,2024-08-27 09:39:51
43,721,Haze,haze,50d,stations,6000,1724751998,19800,Bhavnagar,200,72.1525,21.7745,26.94,29.88,26.94,26.94,999,83,999,996,8.23,200,0.0,100,IN,1724720000,1724765573,1,9053,2024-08-27 09:46:38
44,501,Rain,moderate rain,10d,stations,6000,1724751998,19800,Bhavnagar,200,72.1525,21.7745,26.94,29.88,26.94,26.94,999,83,999,996,8.23,200,0.0,100,IN,1724720000,1724765573,1,9053,2024-08-27 09:46:38
45,502,Rain,heavy intensity rain,10d,stations,9585,1724751998,19800,Bhuj,200,69.6693,23.254,27.14,30.47,27.14,27.14,994,84,994,979,5.28,322,10.55,100,IN,1724720521,1724766244,0,0,2024-08-27 09:46:38
46,501,Rain,moderate rain,10d,stations,2000,1724751998,19800,Gandhinagar,200,72.6833,23.2167,25.99,25.99,25.99,25.99,998,89,998,990,7.72,160,12.86,100,IN,1724719799,1724765519,1,9049,2024-08-27 09:46:38
47,701,Mist,mist,50d,stations,2000,1724751998,19800,Gandhinagar,200,72.6833,23.2167,25.99,25.99,25.99,25.99,998,89,998,990,7.72,160,12.86,100,IN,1724719799,1724765519,1,9049,2024-08-27 09:46:38
48,804,Clouds,overcast clouds,04d,stations,9885,1724751999,19800,Gandevi,200,72.9167,20.85,28.94,35.91,28.94,28.94,1001,86,1001,1000,9.99,213,14.2,100,IN,1724719863,1724765343,1,9071,2024-08-27 09:46:39
49,503,Rain,very heavy rain,10d,stations,1500,1724751999,19800,Porbandar,200,69.6009,21.6413,24.97,25.98,24.97,24.97,996,94,996,994,10.29,280,14.4,100,IN,1724720620,1724766178,1,9070,2024-08-27 09:46:39
50,804,Clouds,overcast clouds,04d,stations,6250,1724751999,19800,Rajkot,200,70.7932,22.2916,23.41,24.31,23.41,23.41,997,96,997,980,11.02,217,17.89,100,IN,1724720300,1724765925,0,0,2024-08-27 09:46:39
51,721,Haze,haze,50d,stations,5000,1724751999,19800,Surat,200,72.8302,21.1959,28.9,34.25,28.9,28.9,1001,79,1001,999,9.77,220,14.92,75,IN,1724719867,1724765381,1,9071,2024-08-27 09:46:39
52,721,Haze,haze,50d,stations,4000,1724751999,19800,Vadodara,200,73.2081,22.2994,28.96,34.42,28.96,28.96,1000,79,1000,996,8.23,200,0.0,75,IN,1724719720,1724765346,1,9060,2024-08-27 09:46:39
53,801,Clouds,few clouds,02d,stations,10000,1724751999,19800,Ambala,200,76.7978,30.361,33.35,38.28,33.35,33.35,1003,54,1003,973,5.52,117,6.74,16,IN,1724718415,1724764929,0,0,2024-08-27 09:46:39
54,804,Clouds,overcast clouds,04d,stations,10000,1724751999,19800,Bhiwani,200,76.1397,28.793,32.47,37.55,32.47,32.47,1002,58,1002,977,6.1,119,7.51,100,IN,1724718665,1724764995,0,0,2024-08-27 09:46:39
55,803,Clouds,broken clouds,04d,stations,10000,1724751999,19800,Faridabad,200,77.3132,28.4112,31.16,33.3,31.16,31.16,1001,52,1001,977,5.25,122,8.22,81,IN,1724718405,1724764691,1,9165,2024-08-27 09:46:39
56,721,Haze,haze,50d,stations,5000,1724751999,19800,Gurgaon,200,77.0264,28.4601,31.01,38.01,31.01,31.01,1001,74,1001,975,5.14,90,0.0,75,IN,1724718471,1724764763,1,9165,2024-08-27 09:46:39
57,500,Rain,light rain,10d,stations,5000,1724751999,19800,Gurgaon,200,77.0264,28.4601,31.01,38.01,31.01,31.01,1001,74,1001,975,5.14,90,0.0,75,IN,1724718471,1724764763,1,9165,2024-08-27 09:46:39
58,804,Clouds,overcast clouds,04d,stations,10000,1724751999,19800,Hisar,200,75.7229,29.1539,32.61,37.25,32.61,32.61,1002,56,1002,978,5.1,117,7.26,99,IN,1724718744,1724765115,0,0,2024-08-27 09:46:39
59,803,Clouds,broken clouds,04d,stations,10000,1724752000,19800,Karnal,200,76.9845,29.692,32.98,37.77,32.98,32.98,1003,55,1003,975,6.54,123,7.99,70,IN,1724718410,1724764844,0,0,2024-08-27 09:46:40
60,802,Clouds,scattered clouds,03d,stations,10000,1724752000,19800,Chandigarh,200,76.8537,30.6915,32.78,37.95,32.78,32.78,1004,57,1004,960,3.29,148,3.79,46,IN,1724718382,1724764935,0,0,2024-08-27 09:46:40
61,803,Clouds,broken clouds,04d,stations,10000,1724752000,19800,Panipat,200,76.9682,29.3875,32.43,38.1,32.43,32.43,1002,60,1002,976,5.86,115,8.0,84,IN,1724718431,1724764830,0,0,2024-08-27 09:46:40
62,804,Clouds,overcast clouds,04d,stations,10000,1724752000,19800,Rohtak,200,76.5892,28.8945,32.85,38.12,32.85,32.85,1002,57,1002,977,4.06,110,6.88,97,IN,1724718551,1724764893,0,0,2024-08-27 09:46:40
63,804,Clouds,overcast clouds,04d,stations,10000,1724752000,19800,Sirsa,200,75.029,29.5349,32.59,36.6,32.59,32.59,1002,54,1002,979,5.52,111,7.08,99,IN,1724718888,1724765304,0,0,2024-08-27 09:46:40
64,804,Clouds,overcast clouds,04d,stations,8511,1724752000,19800,Sonipat,200,77.0194,28.9948,30.98,35.57,30.98,30.98,1002,63,1002,977,5.07,91,8.07,86,IN,1724718442,1724764795,1,9165,2024-08-27 09:46:40
65,802,Clouds,scattered clouds,03d,stations,10000,1724752000,19800,Shimla,200,77.1666,31.1044,20.79,20.88,20.79,20.79,1007,75,1007,847,2.08,252,1.79,37,IN,1724718282,1724764885,0,0,2024-08-27 09:46:40
66,804,Clouds,overcast clouds,04d,stations,10000,1724752000,19800,Baramula,200,74.3429,34.209,22.32,22.36,22.32,22.32,1011,67,1011,794,3.87,275,3.92,100,IN,1724718765,1724765757,0,0,2024-08-27 09:46:40
67,804,Clouds,overcast clouds,04d,stations,10000,1724752000,19800,Jammu,200,74.8691,32.7357,27.62,31.17,27.36,27.62,1004,80,1004,964,2.29,285,2.78,100,IN,1724718733,1724765537,2,50707,2024-08-27 09:46:40
68,804,Clouds,overcast clouds,04d,stations,10000,1724752000,19800,Sopur,200,74.4571,34.3182,24.68,24.54,24.68,24.68,1008,51,1008,827,6.38,284,5.36,100,IN,1724718730,1724765737,0,0,2024-08-27 09:46:40
69,804,Clouds,overcast clouds,04d,stations,10000,1724752001,19800,Srinagar,200,74.8056,34.0857,27.63,27.48,27.63,27.63,1007,42,1007,826,0.51,83,1.71,100,IN,1724718661,1724765638,0,0,2024-08-27 09:46:41
70,500,Rain,light rain,10d,stations,10000,1724752001,19800,Dhanbad,200,86.4432,23.802,28.31,32.05,28.31,28.31,1003,75,1003,979,3.9,175,4.58,100,IN,1724716465,1724762249,0,0,2024-08-27 09:46:41
71,701,Mist,mist,50d,stations,4000,1724752001,19800,Jamshedpur,200,86.1854,22.8028,27.9,33.26,27.9,27.9,1003,89,1003,981,2.57,120,0.0,75,IN,1724716579,1724762259,1,9121,2024-08-27 09:46:41
72,701,Mist,mist,50d,stations,4500,1724752001,19800,Ranchi,200,85.3386,23.3478,32.1,39.1,32.1,32.1,1003,89,1003,931,5.14,110,0.0,75,IN,1724716754,1724762491,1,9131,2024-08-27 09:46:41
73,500,Rain,light rain,10d,stations,4500,1724752001,19800,Ranchi,200,85.3386,23.3478,32.1,39.1,32.1,32.1,1003,89,1003,931,5.14,110,0.0,75,IN,1724716754,1724762491,1,9131,2024-08-27 09:46:41
74,500,Rain,light rain,10d,stations,10000,1724752001,19800,Jamadoba,200,86.4127,23.7,28.66,32.87,28.66,28.66,1003,75,1003,980,3.97,181,4.56,100,IN,1724716478,1724762251,0,0,2024-08-27 09:46:41
75,803,Clouds,broken clouds,04d,stations,6000,1724752001,19800,Belgaum,200,74.5085,15.8626,23.03,23.84,23.03,23.03,1008,94,1008,924,6.17,270,0.0,75,IN,1724719722,1724764720,1,9229,2024-08-27 09:46:41
76,804,Clouds,overcast clouds,04d,stations,10000,1724751445,19800,Bellary,200,76.9214,15.1394,29.83,31.11,29.83,29.83,1007,52,1007,955,9.53,265,11.97,90,IN,1724719177,1724764107,0,0,2024-08-27 09:37:25
77,802,Clouds,scattered clouds,03d,stations,8000,1724751538,19800,Kanija Bhavan,200,77.5901,12.9768,27.74,29.28,27.14,27.9,1008,62,1008,912,5.14,250,0.0,40,IN,1724719116,1724763848,2,2017753,2024-08-27 09:38:58
78,803,Clouds,broken clouds,04d,stations,10000,1724752001,19800,Bidar,200,77.5301,17.9133,27.6,29.17,27.6,27.6,1006,63,1006,938,8.15,251,11.52,58,IN,1724718900,1724764092,0,0,2024-08-27 09:46:41
79,803,Clouds,broken clouds,04d,stations,10000,1724752001,19800,Bijapur,200,75.719,16.8277,28.56,29.8,28.56,28.56,1006,56,1006,939,11.25,253,13.35,70,IN,1724719386,1724764475,0,0,2024-08-27 09:46:41
80,804,Clouds,overcast clouds,04d,stations,10000,1724752002,19800,Mandya,200,76.8951,12.5456,27.53,28.42,27.53,27.53,1008,56,1008,929,5.97,259,8.62,89,IN,1724719302,1724763995,1,9212,2024-08-27 09:46:42
81,804,Clouds,overcast clouds,04d,stations,10000,1724752002,19800,Davangere,200,75.9238,14.4692,27.26,28.84,27.26,27.26,1008,65,1008,942,8.85,261,12.11,86,IN,1724719447,1724764316,0,0,2024-08-27 09:46:42
82,804,Clouds,overcast clouds,04d,stations,10000,1724752002,19800,Gulbarga,200,76.8376,17.3358,28.55,30.16,28.55,28.55,1006,59,1006,954,7.14,263,10.56,99,IN,1724719094,1724764231,0,0,2024-08-27 09:46:42
